Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 3s, user_time = 3s, system_time = 0, batch_count = ?, play_count = 1, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 160, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 7s, user_time = 31s, system_time = 0, batch_count = ?, play_count = 9, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 160, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 14s, user_time = 1m28s, system_time = 0, batch_count = ?, play_count = 25, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 160, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 24s, user_time = 2m52s, system_time = 0, batch_count = ?, play_count = 49, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 160, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 42s, user_time = 5m13s, system_time = 0, batch_count = ?, play_count = 89, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 160, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 1m14s, user_time = 9m48s, system_time = 0, batch_count = ?, play_count = 166, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 160, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 2m14s, user_time = 17m26s, system_time = 0, batch_count = ?, play_count = 297, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 164, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 3m14s, user_time = 25m26s, system_time = 0, batch_count = ?, play_count = 433, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 164, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 4m15s, user_time = 33m25s, system_time = 0, batch_count = ?, play_count = 569, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 164, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 5m15s, user_time = 41m25s, system_time = 0, batch_count = ?, play_count = 705, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 164, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 6m15s, user_time = 49m24s, system_time = 0, batch_count = ?, play_count = 841, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 164, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 7m16s, user_time = 57m24s, system_time = 0, batch_count = ?, play_count = 977, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 164, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 8m16s, user_time = 1h5m25s, system_time = 1s, batch_count = ?, play_count = 1113, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 164, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 9m16s, user_time = 1h13m25s, system_time = 1s, batch_count = ?, play_count = 1249, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 164, had_checker_misconfigurations = false}
Silifuzz Checker Result:{issues_detected = 0, num_cores = 128, elapsed_time = 10m, user_time = 1h19m28s, system_time = 1s, batch_count = ?, play_count = 1356, snapshot_execution_errors = 0, runaway_count = 0, max_rss_kb = 164, had_checker_misconfigurations = false}
